cbsa1_name,cbsa2_name,cbsa1,cbsa2,raceDistance,incomeDistance,geographicDistance,scenesDistance,populationDistance,employmentDistance,bachelorDistance,frequencyDistance,frequencyCosine,categoriesJaccard,votingDistance
Orlando,San Francisco,36740,41860,0.03711459695712676,57764.0,3919084.441672396,0.18562075268650263,2075632.0,0.022891886575052145,11.608892525913802,4229.596316434939,0.9253217087990864,0.7668424135910955,0.2524438379010143
Houston,Riverside,26420,40140,0.016852601327162854,2980.0,2028109.6435533513,0.0613257277758876,2522401.0,0.0505377105511452,71.99033189033189,7786.06158465241,0.9688358525509787,0.7739571589627959,0.03646135305084325
Charlotte,Chicago,16740,16980,0.0126905914690401,8910.0,953151.6318506551,0.06251994839092216,6958173.0,0.004418684582251364,25.73655970913198,14522.316413024473,0.9606835839030312,0.7569204152249135,0.17414938139732017
Boston,San Francisco,14460,41860,0.06937829796655279,22198.0,4316920.330405948,0.0997999730703006,192624.0,0.01848368741534845,9.84621741894469,3168.3086970811414,0.9463225439303427,0.7791907514450868,0.1314361721456635
Atlanta,Riverside,12060,40140,0.13526000530199672,1584.0,2909140.8948597093,0.0749649753793721,1489976.0,0.05951097555260976,89.36448327542749,6503.029678542149,0.9627333804819509,0.787122969837587,0.0233340448895345
Houston,Seattle,26420,42660,0.07881241796838151,29145.0,2999818.1718407935,0.10572211579503482,3103478.0,0.022054433363890236,76.82922077922078,7919.992676764291,0.9354399490739992,0.79251040221914,0.17502184123806913
Houston,San Diego,26420,41740,0.013456234151729151,18913.0,2070333.9044764386,0.1059682327314652,3823606.0,0.002047734917374422,,8956.756276688564,0.9505934562009511,0.7708159287106655,0.10898524933066184
Detroit,Orlando,19820,36740,0.061798703700299766,905.0,1593887.025237705,0.041578160499901415,1718665.0,0.021963114305002085,8.42978112007826,3255.4916679358894,0.9681421131575705,0.7857142857142857,0.006421978429561159
Charlotte,Dallas,16740,19100,0.0315288367680807,7221.0,1511501.1262123648,0.07158245666004252,4977058.0,0.018592347474705284,29.712108880448547,11205.182104722797,0.9801723834701102,0.7586106246351431,0.015423171501471766
Philadelphia,San Francisco,37980,41860,0.06310895347172747,43760.0,4017263.9084828408,0.10630735584984916,1496043.0,0.012965437507196254,4.083407718561304,4727.467821149077,0.9358198645425582,0.7790336253178864,0.16000776332916766
Atlanta,San Diego,12060,41740,0.07174568352944953,14349.0,2996641.092007449,0.09557606878570887,2791181.0,0.01102099991883898,,7562.334361822413,0.9509315840728177,0.7791428571428571,0.04918985139028409
Las Vegas,Philadelphia,29820,37980,0.048267524618535784,15644.0,3461943.4891122472,0.1021661859073897,3979590.0,0.020209297141622673,,7634.6737323869975,0.9481746089856008,0.7400647630261996,NaN
Dallas,Minneapolis,19100,33460,0.07320377623557268,11275.0,1396185.366745365,0.08915252486349133,3947126.0,0.01835864855919156,19.9774972903486,10274.734984416873,0.9400912090580265,0.7846903669724771,0.08662158633894812
Miami,San Antonio,33100,41700,0.014696582100175954,1825.0,1843423.684806742,0.09172886013086683,3580190.0,0.016064569253490313,74.92977400165087,8660.333019001058,0.9351497593240936,0.7517221584385764,0.07355035077878946
Denver,Seattle,19740,42660,0.014120798724918542,10286.0,1630005.499906534,0.0667608278643778,1054941.0,0.030659827062031186,81.94481245011971,2176.3811706592205,0.9709974771448979,0.7832555425904317,0.06000936829655357
